character,attributes
kaname_madoka_(mahou_shoujo_madoka_magica),"1girl, bow, twintails, dress, hair_bow, short_twintails, gloves, puffy_sleeves, white_gloves, choker, short_sleeves, frills"
hong_meiling_(touhou),"1girl, large_breasts, medium_breasts, braid, twin_braids, hat, shirt, hat_ornament, green_hat, star_hat_ornament, white_shirt, short_sleeves"
saigyouji_yuyuko_(touhou),"1girl, large_breasts, hat, kimono, blue_hat, blue_kimono, frills, long_sleeves, wide_sleeves, frilled_kimono, ribbon, sleeve_garter"
inubashiri_momiji_(touhou),"1girl, large_breasts, animal_ears, wolf_ears, hat, tail, wolf_tail, red_hat, tokin_hat, skirt, shirt, detached_sleeves"
kagamine_rin_(vocaloid),"1girl, small_breasts, bow, hair_bow, shirt, sailor_collar, white_bow, black_sailor_collar, white_shirt, headphones, detached_sleeves, sleeveless_shirt"
scaramouche_(genshin_impact),"1boy, kimono, bodysuit, choppy_bangs, white_kimono, black_bodysuit, shorts, mandarin_collar, armor, hat, japanese_armor, short_sleeves"
yakumo_ran_(touhou),"1girl, large_breasts, tail, fox_tail, hat, multiple_tails, dress, long_sleeves, white_dress, animal_hat, animal_ears, wide_sleeves"
kaga_(kancolle),"1girl, large_breasts, side_ponytail, kimono, skirt, short_side_ponytail, white_kimono, hakama_skirt, gloves, thighhighs, partially_fingerless_gloves, cleavage"
kaenbyou_rin_(touhou),"1girl, large_breasts, huge_breasts, animal_ears, cat_ears, braid, twin_braids, tail, bow, hair_bow, multiple_tails, cat_tail"
konpaku_youmu_(ghost),"1girl, shirt, skirt, white_shirt, bow, green_skirt, bowtie, black_bow, black_bowtie, short_sleeves, collared_shirt, skirt_set"
rumia_(touhou),"1girl, shirt, ribbon, hair_ribbon, skirt, white_shirt, ascot, long_sleeves, red_ascot, red_ribbon, black_skirt, collared_shirt"
raiden_shogun_(genshin_impact),"1girl, large_breasts, huge_breasts, blunt_bangs, braid, kimono, single_braid, purple_kimono, ribbon, sash, cleavage, red_sash"
warrior_of_light_(ff14),"1girl, 1boy, medium_breasts, large_breasts, animal_ears, cat_ears, tail, horns, shirt, dragon_horns, cat_tail, cleavage"
moriya_suwako_(touhou),"1girl, hat, long_sleeves, brown_hat, hair_ribbon, ribbon, skirt, wide_sleeves, purple_skirt, red_ribbon, tress_ribbon, skirt_set"
lumine_(genshin_impact),"1girl, medium_breasts, large_breasts, flower, hair_flower, dress, white_dress, white_flower, detached_sleeves, cleavage, long_sleeves, gloves"
saber_(fate),"1girl, medium_breasts, small_breasts, braid, long_sleeves, dress, puffy_sleeves, blue_dress, braided_bun, bow, ribbon, hair_bow"
shimakaze_(kancolle),"1girl, loli, gloves, skirt, elbow_gloves, blue_skirt, sailor_collar, thighhighs, white_gloves, panties, striped_thighhighs, highleg_panties"
reiuji_utsuho_(touhou),"1girl, large_breasts, bow, hair_bow, wings, green_bow, shirt, skirt, white_shirt, short_sleeves, green_skirt, black_wings"
chen_(touhou),"1girl, animal_ears, cat_ears, tail, hat, cat_tail, multiple_tails, two_tails, green_hat, bow, long_sleeves, bowtie"
mash_kyrielight_(fate_(series)),"1girl, large_breasts, gloves, cleavage, glasses, jacket, necktie, collarbone, skirt, thighhighs, boots, elbow_gloves"
ganyu_(genshin_impact),"1girl, medium_breasts, large_breasts, horns, goat_horns, detached_sleeves, gloves, black_gloves, white_sleeves, long_sleeves, dress, bodysuit"
kazami_yuuka_(touhou),"1girl, large_breasts, shirt, white_shirt, ascot, skirt, yellow_ascot, flower, long_sleeves, plaid_skirt, red_skirt, sunflower"
miki_sayaka_(mahou_shoujo_madoka_magica),"1girl, medium_breasts, cape, gloves, white_cape, skirt, white_gloves, shirt, thighhighs, blue_skirt, detached_sleeves, boots"
doodle_sensei_(blue_archive),"1girl, large_breasts, shirt, bow, long_sleeves, white_shirt, skirt, animal_ears, cleavage, dress, horns, wings"
link_(the_legend_of_zelda),"1boy, pointy_ears, jewelry, earrings, shirt, hat, gloves, ponytail, boots, belt, fingerless_gloves, pants"
trailblazer_(honkai:_star_rail),"1girl, 1boy, medium_breasts, large_breasts, shirt, white_shirt, jacket, black_jacket, gloves, black_gloves, open_jacket, skirt"
tatara_kogasa_(touhou),"1girl, large_breasts, skirt, shirt, long_sleeves, white_shirt, blue_skirt, puffy_sleeves, juliet_sleeves, frills, red_eyes, blue_hair"
fujimaru_ritsuka_(male),"1boy, 1girl, long_sleeves, shirt, gloves, jacket, dress, pants, bow, chaldea_master_uniform, white_shirt, black_hair"
kawashiro_nitori_(touhou),"1girl, large_breasts, hat, green_hat, shirt, bag, skirt, blue_shirt, blue_skirt, jewelry, boots, long_sleeves"
hina_(blue_archive),"1girl, small_breasts, horns, demon_horns, wings, demon_wings, parted_bangs, low_wings, black_horns, multiple_horns, dress, purple_wings"
hibiki_(kancolle),"1girl, small_breasts, sailor_collar, hat, shirt, long_sleeves, white_shirt, black_sailor_collar, skirt, thighhighs, school_uniform, pleated_skirt"
yuuka_(blue_archive),"1girl, large_breasts, shirt, jacket, white_shirt, skirt, gloves, necktie, black_gloves, blue_necktie, cleavage, pleated_skirt"
shigure_(kancolle),"1girl, medium_breasts, large_breasts, braid, single_braid, shirt, skirt, gloves, pleated_skirt, black_skirt, black_gloves, necktie"
kamishirasawa_keine_(touhou),"1girl, dress, hat, short_sleeves, blue_hat, blue_dress, puffy_sleeves, puffy_short_sleeves, shirt, white_shirt, sleeveless_dress, long_dress"
hinanawi_tenshi_(touhou),"1girl, hat, bow, bowtie, short_sleeves, red_bow, red_bowtie, peach_hat_ornament, black_hat, shirt, frills, white_shirt"
houraisan_kaguya_(touhou),"1girl, shirt, long_sleeves, frills, pink_shirt, bow, wide_sleeves, skirt, bowtie, red_skirt, white_bow, collared_shirt"
houshou_marine_(hololive),"1girl, large_breasts, twintails, jacket, gloves, ribbon, hair_ribbon, leotard, red_jacket, hat, sleeveless_jacket, leotard_under_clothes"
asuna_(blue_archive),"1girl, large_breasts, huge_breasts, ribbon, choker, cleavage, hair_ribbon, collarbone, shirt, bow, white_shirt, blue_bow"
gotoh_hitori_(bocchi_the_rock!),"1girl, large_breasts, jacket, pink_jacket, long_sleeves, track_jacket, skirt, bow, cleavage, dress, shirt, pleated_skirt"
souryuu_asuka_langley_(neon_genesis_evangelion),"1girl, medium_breasts, bodysuit, mecha_pilot_suit, plugsuit_(evangelion), red_bodysuit, dress, shirt, jacket, twintails, long_hair, blue_eyes"
sakura_kyoko_(mahou_shoujo_madoka_magica),"1girl, small_breasts, bow, hair_bow, ponytail, black_bow, dress, detached_sleeves, red_dress, boots, long_sleeves, skirt"
gardevoir_(pokemon),"1girl, flat_chest, large_breasts, huge_breasts, dress, gloves, cleavage, elbow_gloves, white_dress, collarbone, strapless_dress, black_dress"
tomoe_mami_(mahou_shoujo_madoka_magica),"1girl, large_breasts, hat, skirt, gloves, thighhighs, corset, shirt, detached_sleeves, fingerless_gloves, puffy_sleeves, twintails"
kagamine_len_(vocaloid),"1boy, shirt, ponytail, white_shirt, short_ponytail, necktie, sailor_collar, long_sleeves, headphones, black_sailor_collar, double-parted_bangs, short_sleeves"
pikachu_(pokemon),"1girl, large_breasts, dress, tail, cleavage, long_sleeves, grey_dress, droopy_ears, animal_ears, shirt, sleeves_past_wrists, collarbone"
gawr_gura_(hololive),"1girl, small_breasts, tail, fish_tail, shark_tail, blunt_bangs, hood, hoodie, long_sleeves, blue_hoodie, hood_down, animal_ears"
mystia_lorelei_(touhou),"1girl, wings, animal_ears, bird_ears, bird_wings, hat, long_sleeves, dress, brown_hat, shirt, white_shirt, brown_dress"
koakuma_(touhou),"1girl, large_breasts, wings, head_wings, shirt, demon_wings, skirt, white_shirt, long_sleeves, necktie, collared_shirt, red_necktie"
fujimaru_ritsuka_(female),"1girl, medium_breasts, large_breasts, long_sleeves, gloves, shirt, dress, jewelry, skirt, cleavage, belt, side_ponytail"
princess_zelda_(the_legend_of_zelda),"1girl, medium_breasts, large_breasts, pointy_ears, dress, jewelry, earrings, braid, parted_bangs, crown_braid, armor, shoulder_armor"
ibuki_suika_(touhou),"1girl, horns, bow, hair_bow, red_bow, shirt, skirt, white_shirt, ribbon, horn_ribbon, brown_horns, purple_skirt"
firefly_(honkai:_star_rail),"1girl, medium_breasts, skirt, long_sleeves, shirt, white_shirt, bow, school_uniform, thighhighs, serafuku, jacket, plaid_skirt"
tifa_lockhart_(final_fantasy),"1girl, large_breasts, gloves, jewelry, skirt, earrings, low-tied_long_hair, black_gloves, black_skirt, fingerless_gloves, elbow_gloves, miniskirt"
nazrin_(touhou),"1girl, animal_ears, mouse_ears, tail, mouse_tail, capelet, shirt, jewelry, long_sleeves, white_shirt, skirt, blue_capelet"
kasane_teto_(utau),"1girl, bow, double-parted_bangs, shirt, jacket, skirt, buttons, white_bow, grey_jacket, hair_bow, long_sleeves, grey_skirt"
inaba_tewi_(touhou),"1girl, animal_ears, rabbit_ears, dress, pink_dress, short_sleeves, rabbit_tail, tail, puffy_short_sleeves, puffy_sleeves, floppy_ears, jewelry"
inkling_player_character_(splatoon_(series)),"1girl, 1boy, pointy_ears, shirt, hat, shoes, shorts, black_shorts, jacket, white_shirt, black_shoes, bow"
shirakami_fubuki_(hololive),"1girl, medium_breasts, animal_ears, fox_ears, tail, fox_tail, braid, shirt, double-parted_bangs, side_braid, detached_sleeves, shorts"
frieren_(sousou_no_frieren),"1girl, medium_breasts, pointy_ears, jewelry, earrings, twintails, parted_bangs, capelet, white_capelet, shirt, long_sleeves, teardrop_earrings"
mika_(blue_archive),"1girl, large_breasts, wings, feathered_wings, white_wings, low_wings, angel_wings, dress, white_dress, cleavage, swimsuit, flower"
cloud_strife_(final_fantasy),"1boy, armor, shoulder_armor, gloves, shirt, pants, jewelry, earrings, black_gloves, belt, black_pants, sweater"
hoshimachi_suisei_(hololive),"1girl, small_breasts, shirt, jacket, hat, ribbon, skirt, double-parted_bangs, gloves, side_ponytail, choker, jewelry"
hijiri_byakuren_(touhou),"1girl, large_breasts, dress, black_dress, long_sleeves, white_dress, cross-laced_dress, puffy_sleeves, layered_dress, juliet_sleeves, boots, flower"
hu_tao_(genshin_impact),"1girl, small_breasts, flower-shaped_pupils, hat, twintails, long_sleeves, flower, black_hat, shorts, hat_flower, shirt, jewelry"
kongou_(kancolle),"1girl, large_breasts, medium_breasts, ribbon_trim, detached_sleeves, ribbon-trimmed_sleeves, skirt, wide_sleeves, black_skirt, dress, frills, thighhighs"
houjuu_nue_(touhou),"1girl, small_breasts, medium_breasts, wings, asymmetrical_wings, dress, bow, black_dress, thighhighs, bowtie, red_bow, black_thighhighs"
inazuma_(kancolle),"1girl, folded_ponytail, sailor_collar, school_uniform, serafuku, skirt, pleated_skirt, black_sailor_collar, long_sleeves, black_skirt, shirt, white_shirt"
megurine_luka_(vocaloid),"1girl, large_breasts, shirt, skirt, jewelry, headphones, thighhighs, detached_sleeves, black_shirt, dress, belt, black_skirt"
hoshino_(blue_archive),"1girl, small_breasts, shirt, fang, skirt, white_shirt, long_sleeves, necktie, skin_fang, gloves, pleated_skirt, swimsuit"
jeanne_d'arc_alter_(fate),"1girl, large_breasts, dress, armor, cleavage, thighhighs, long_sleeves, black_dress, gloves, choker, jacket, cape"
rio_(blue_archive),"1girl, large_breasts, huge_breasts, cleavage, blunt_bangs, skirt, ponytail, black_skirt, panties, sweater, black_panties, swimsuit"
inkling_girl_(splatoon_(series)),"1girl, pointy_ears, shirt, hat, shoes, shorts, black_shorts, bow, white_shirt, black_shoes, gloves, jacket"
wanderer_(genshin_impact),"1boy, kimono, choppy_bangs, white_sleeves, bodysuit, hat, white_kimono, black_bodysuit, shorts, short_sleeves, cape, mandarin_collar"
aether_(genshin_impact),"1boy, 1girl, jewelry, earrings, shirt, braid, gloves, long_sleeves, pants, single_braid, scarf, black_gloves"
nanami_chiaki_(danganronpa_(series)),"1girl, large_breasts, ribbon, jacket, long_sleeves, shirt, pink_ribbon, open_jacket, neck_ribbon, white_shirt, collared_shirt, skirt"
furina_(genshin_impact),"1girl, medium_breasts, hat, gloves, long_sleeves, blue_hat, ascot, jacket, bow, top_hat, blue_ascot, blue_jacket"
yagokoro_eirin_(touhou),"1girl, large_breasts, medium_breasts, hat, braid, dress, short_sleeves, two-tone_dress, puffy_sleeves, puffy_short_sleeves, red_dress, shirt"
trainer_(umamusume),"1girl, 1boy, large_breasts, small_breasts, animal_ears, horse_ears, tail, horse_tail, shirt, long_sleeves, skirt, collarbone"
akagi_(kancolle),"1girl, large_breasts, skirt, hakama_skirt, kimono, thighhighs, white_kimono, gloves, partially_fingerless_gloves, cleavage, hakama_short_skirt, bow_(weapon)"
ouro_kronii_(hololive),"1girl, large_breasts, shirt, cleavage, bow, white_shirt, jewelry, earrings, thighhighs, gloves, long_sleeves, skirt"
yasaka_kanako_(touhou),"1girl, shirt, red_shirt, skirt, layered_sleeves, black_skirt, white_sleeves, rope_belt, long_sleeves, purple_hair, medium_hair, hair_between_eyes"
mizuhashi_parsee_(touhou),"1girl, medium_breasts, pointy_ears, shirt, scarf, skirt, white_scarf, brown_shirt, short_sleeves, black_skirt, socks, shoes"
usami_renko_(touhou),"1girl, shirt, bow, hat, white_shirt, black_hat, skirt, hat_bow, hair_bow, long_sleeves, collared_shirt, black_skirt"
fubuki_(kancolle),"1girl, ponytail, low_ponytail, sailor_collar, skirt, pleated_skirt, school_uniform, serafuku, short_ponytail, blue_skirt, shirt, black_sailor_collar"
akemi_homura_(magical_girl),"1girl, skirt, long_sleeves, ribbon, purple_skirt, dress, frills, frilled_skirt, bow, white_dress, capelet, red_ribbon"
agnes_tachyon_(umamusume),"1girl, large_breasts, animal_ears, horse_ears, shirt, long_sleeves, tail, horse_tail, jewelry, lab_coat, earrings, coat"
abigail_williams_(fate),"1girl, small_breasts, bow, parted_bangs, hair_bow, hat, dress, multiple_hair_bows, orange_bow, black_bow, black_dress, twintails"
nahida_(genshin_impact),"1girl, pointy_ears, dress, side_ponytail, white_dress, detached_sleeves, sleeveless_dress, jewelry, green_sleeves, bracelet, flower, braid"
maribel_hearn_(touhou),"1girl, hat, dress, purple_dress, white_hat, collared_dress, contrast_collar, bow, long_sleeves, frills, ribbon, bowtie"
yae_miko_(genshin_impact),"1girl, large_breasts, animal_ears, fox_ears, detached_sleeves, jewelry, earrings, wide_sleeves, long_sleeves, floppy_ears, cleavage, shirt"
yuudachi_(kancolle),"1girl, medium_breasts, large_breasts, ribbon, skirt, hair_ribbon, scarf, school_uniform, white_scarf, black_ribbon, sailor_collar, shirt"
elysia_(honkai_impact),"1girl, large_breasts, medium_breasts, pointy_ears, cleavage, dress, gloves, white_gloves, corset, white_corset, white_dress, jewelry"
tenryuu_(kancolle),"1girl, large_breasts, shirt, necktie, gloves, skirt, thighhighs, white_shirt, checkered_necktie, black_gloves, collared_shirt, partially_fingerless_gloves"
mori_calliope_(hololive),"1girl, large_breasts, cleavage, shirt, blunt_bangs, long_sleeves, jacket, dress, tiara, black_dress, jewelry, black_gloves"
stelle_(honkai:_star_rail),"1girl, medium_breasts, large_breasts, shirt, jacket, white_shirt, black_jacket, gloves, skirt, black_gloves, black_skirt, long_sleeves"
2b_(nier:automata),"1girl, large_breasts, medium_breasts, thighhighs, gloves, puffy_sleeves, black_gloves, dress, cleavage_cutout, black_dress, leotard, long_sleeves"
kagiyama_hina_(touhou),"1girl, ribbon, dress, bow, frills, red_ribbon, red_bow, red_dress, hair_bow, hair_ribbon, front_ponytail, short_sleeves"
doctor_(arknights),"1girl, 1boy, large_breasts, long_sleeves, jacket, hood, animal_ears, coat, gloves, black_jacket, hooded_jacket, tail"
ninomae_ina'nis_(hololive),"1girl, pointy_ears, blunt_bangs, dress, black_dress, fang, shirt, long_sleeves, shorts, white_shirt, purple_hair, long_hair"
shigure_kai_ni_(kancolle),"1girl, medium_breasts, braid, single_braid, sailor_collar, school_uniform, shirt, serafuku, skirt, pleated_skirt, white_sailor_collar, black_skirt"
usada_pekora_(hololive),"1girl, small_breasts, animal_ears, rabbit_ears, braid, twin_braids, dress, shirt, extra_ears, gloves, twintails, black_gloves"
manhattan_cafe_(umamusume),"1girl, small_breasts, animal_ears, horse_ears, shirt, jewelry, earrings, tail, horse_tail, skirt, long_sleeves, necktie"
ikazuchi_(kancolle),"1girl, small_breasts, sailor_collar, school_uniform, skirt, serafuku, pleated_skirt, fang, long_sleeves, black_sailor_collar, black_skirt, shirt"
toki_(blue_archive),"1girl, medium_breasts, large_breasts, bow, bowtie, braid, blue_bow, animal_ears, rabbit_ears, fake_animal_ears, leotard, blue_leotard"
toyosatomimi_no_miko_(touhou),"1girl, small_breasts, shirt, jewelry, skirt, bracelet, cape, sleeveless_shirt, purple_cape, dress, purple_skirt, belt"
nero_claudius_(fate),"1girl, large_breasts, medium_breasts, braid, cleavage, dress, ribbon, red_dress, hair_ribbon, red_ribbon, swimsuit, bikini"
aerith_gainsborough_(final_fantasy),"1girl, medium_breasts, parted_bangs, dress, ribbon, hair_ribbon, flower, braid, braided_ponytail, jacket, pink_dress, pink_ribbon"
nekomata_okayu_(hololive),"1girl, large_breasts, animal_ears, cat_ears, tail, cat_tail, cleavage, shirt, fang, white_shirt, long_sleeves, hood"
producer_(idolmaster),"1girl, 1boy, medium_breasts, shirt, white_shirt, collarbone, jacket, long_sleeves, skirt, necktie, cleavage, pleated_skirt"
yor_briar_(spy_x_family),"1girl, large_breasts, jewelry, earrings, dress, black_dress, cleavage, sweater, boots, collarbone, gloves, red_sweater"
daiyousei_(touhou),"1girl, wings, fairy_wings, shirt, short_sleeves, white_shirt, bow, hair_bow, collared_shirt, yellow_bow, skirt, ascot"
suzumiya_haruhi_(suzumiya_haruhi_no_yuuutsu),"1girl, large_breasts, ribbon, hair_ribbon, yellow_ribbon, school_uniform, kita_high_school_uniform, skirt, sailor_collar, blue_sailor_collar, serafuku, winter_uniform"
amiya_(arknights),"1girl, animal_ears, rabbit_ears, jacket, long_sleeves, black_jacket, jewelry, shirt, ascot, white_shirt, hood, ponytail"
manjuu_(azur_lane),"1girl, large_breasts, huge_breasts, thighhighs, dress, cleavage, animal_ears, braid, bow, choker, white_thighhighs, horns"
shiroko_(blue_archive),"1girl, medium_breasts, large_breasts, animal_ears, wolf_ears, shirt, extra_ears, white_shirt, jacket, scarf, swimsuit, skirt"
hamakaze_(kancolle),"1girl, large_breasts, gloves, sailor_collar, school_uniform, serafuku, skirt, white_gloves, pleated_skirt, grey_skirt, shirt, short_sleeves"
illyasviel_von_einzbern_(fate_(series)),"1girl, loli, small_breasts, gloves, dress, thighhighs, hat, layered_gloves, panties, elbow_gloves, shirt, long_hair"
zuikaku_(kancolle),"1girl, small_breasts, twintails, ribbon, swimsuit, hair_ribbon, jacket, bikini, skirt, white_ribbon, ponytail, side-tie_bikini_bottom"
akatsuki_(kancolle),"1girl, small_breasts, sailor_collar, hat, skirt, school_uniform, serafuku, pleated_skirt, black_sailor_collar, long_sleeves, black_skirt, shirt"
kisaki_(blue_archive),"1girl, small_breasts, dress, twintails, china_dress, sleeveless_dress, black_dress, print_dress, braid, gloves, braided_bun, black_gloves"
akiyama_mio_(k-on!),"1girl, medium_breasts, jacket, school_uniform, skirt, sakuragaoka_high_school_uniform, shirt, white_shirt, winter_uniform, ribbon, blazer, dress"
hoshiguma_yuugi_(touhou),"1girl, large_breasts, horns, pointy_ears, red_horns, shirt, kimono, skirt, cleavage, short_sleeves, white_shirt, blue_kimono"
misaka_mikoto_(toaru_majutsu_no_index),"1girl, small_breasts, shirt, school_uniform, tokiwadai_school_uniform, skirt, collared_shirt, white_shirt, asymmetrical_bangs, summer_uniform, sweater_vest, short_sleeves"
tohsaka_rin_(fate_(series)),"1girl, medium_breasts, ribbon, skirt, hair_ribbon, long_sleeves, red_sweater, sweater, thighhighs, black_skirt, black_thighhighs, twintails"
nishizumi_miho_(girls_und_panzer),"1girl, large_breasts, medium_breasts, skirt, school_uniform, shirt, ooarai_school_uniform, long_sleeves, white_shirt, pleated_skirt, sailor_collar, shoes"
mari_(blue_archive),"1girl, small_breasts, animal_ears, flower, cat_ears, hair_flower, white_flower, dress, shirt, hat, long_sleeves, frills"
kirby_(kirby_(series)),"1girl, 1boy, bow, frills, dress, ribbon, long_sleeves, shirt, hat, white_dress, hair_bow, puffy_sleeves"
makima_(chainsaw_man),"1girl, large_breasts, medium_breasts, braid, shirt, white_shirt, braided_ponytail, necktie, black_necktie, collared_shirt, long_sleeves, dress"
haruna_(kancolle),"1girl, large_breasts, medium_breasts, skirt, detached_sleeves, ribbon_trim, ribbon-trimmed_sleeves, shirt, swimsuit, bikini, cleavage, panties"
mononobe_no_futo_(touhou),"1girl, hat, ponytail, ribbon_trim, ribbon-trimmed_sleeves, wide_sleeves, long_sleeves, skirt, blue_hat, blue_skirt, boots, black_hat"
aris_(blue_archive),"1girl, small_breasts, necktie, blue_necktie, jacket, shirt, skirt, white_shirt, twintails, dress, long_sleeves, pleated_skirt"
shiki_eiki_(touhou),"1girl, hat, frills, long_sleeves, skirt, frilled_hat, shirt, black_skirt, white_shirt, blue_hat, ribbon_trim, ribbon-trimmed_skirt"
megumin_(kono_subarashii_sekai_ni_shukufuku_wo!),"1girl, small_breasts, dress, red_dress, thighhighs, black_thighhighs, belt, gloves, hat, fingerless_gloves, long_sleeves, witch_hat"
ayanami_rei_(neon_genesis_evangelion),"1girl, medium_breasts, small_breasts, bodysuit, mecha_pilot_suit, plugsuit_(evangelion), white_bodysuit, school_uniform, shirt, white_shirt, tokyo-3_middle_school_uniform, ribbon"
kayoko_(blue_archive),"1girl, small_breasts, horns, choker, black_horns, wings, demon_horns, black_choker, dress, ponytail, shirt, collarbone"
wriggle_nightbug_(touhou),"1girl, shirt, white_shirt, long_sleeves, shorts, collared_shirt, black_shorts, cape, buttons, denim_shorts, wing_collar, black_cape"
kaname_madoka_(magical_girl),"1girl, small_breasts, twintails, bow, dress, gloves, hair_bow, white_gloves, choker, short_sleeves, pink_dress, puffy_sleeves"
kazusa_(blue_archive),"1girl, medium_breasts, animal_ears, cat_ears, extra_ears, choker, black_choker, colored_inner_animal_ears, jacket, shirt, white_shirt, black_jacket"
zhongli_(genshin_impact),"1boy, jewelry, earrings, long_sleeves, ponytail, gloves, tassel_earrings, shirt, black_gloves, jacket, necktie, low_ponytail"
onozuka_komachi_(touhou),"1girl, large_breasts, short_sleeves, sash, dress, blue_dress, puffy_sleeves, puffy_short_sleeves, skirt, collarbone, black_sash, blue_skirt"
morichika_rinnosuke_(touhou),"1boy, glasses, pants, long_sleeves, boots, white_boots, choker, black_choker, collarbone, wide_sleeves, sash, blue_pants"
shanghai_doll_(touhou),"1girl, lolita_hairband, dress, capelet, white_capelet, blue_dress, frills, long_sleeves, puffy_sleeves, ribbon, shoes, apron"
takanashi_kiara_(hololive),"1girl, large_breasts, earrings, jewelry, feather_earrings, cleavage, hat, thighhighs, shorts, dress, frills, animal_ears"
kashima_(kancolle),"1girl, large_breasts, medium_breasts, twintails, hat, skirt, jacket, pleated_skirt, military_uniform, shirt, gloves, black_hat"
togawa_sakiko_(bang_dream!),"1girl, ribbon, hair_ribbon, black_ribbon, shirt, dress, gloves, black_gloves, skirt, horns, black_dress, short_sleeves"
yuudachi_kai_ni_(kancolle),"1girl, medium_breasts, large_breasts, ribbon, skirt, hair_ribbon, scarf, school_uniform, white_scarf, serafuku, black_ribbon, shirt"
sakura_miko_(hololive),"1girl, large_breasts, skirt, shirt, cleavage, double-parted_bangs, frills, jewelry, long_sleeves, white_shirt, hat, kimono"
fate_testarossa_(lyrical_nanoha),"1girl, large_breasts, thighhighs, twintails, ribbon, black_thighhighs, parted_bangs, hair_ribbon, belt, gloves, skirt, cape"
rem_(re:zero),"1girl, large_breasts, medium_breasts, ribbon, detached_sleeves, hair_ribbon, cleavage, roswaal_mansion_maid_uniform, dress, maid_headdress, pink_ribbon, frills"
nagato_(kancolle),"1girl, large_breasts, gloves, skirt, black_gloves, shirt, elbow_gloves, jacket, white_shirt, collared_shirt, pleated_skirt, white_skirt"
nami_(one_piece),"1girl, large_breasts, jewelry, cleavage, earrings, bracelet, collarbone, braid, bikini, swimsuit, belt, pearl_earrings"
imaizumi_kagerou_(touhou),"1girl, large_breasts, animal_ears, wolf_ears, dress, tail, wolf_tail, white_dress, long_sleeves, jewelry, cleavage, collarbone"
chihaya_anon_(bang_dream!),"1girl, shirt, fang, jacket, long_sleeves, skirt, white_shirt, necktie, school_uniform, haneoka_school_uniform, grey_jacket, green_necktie"
